Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C33H50,164939096.9,0.000120591,0.120590734,0.270145828
C34H52,147117938.9,0.000116305,0.116305393,0.252614355
C35H54,139985844.8,0.000227751,0.227750583,0.480058509
C36H56,112769531.3,2.32607E-05,-0.023260707,-0.047622621
C37H58,105328165.6,0.000110047,-0.110047417,-0.219019948
C38H60,89460647.06,0.000104106,-0.10410613,-0.201572657
C39H62,100377341.4,9.6506E-07,-0.00096506,-0.001819203
C40H64,100402950.7,0.000103006,-0.103005654,-0.189174476
C41H66,77037889.38,9.76155E-05,0.097615518,0.174776442
C42H68,70824058.19,0.000172386,0.172385676,0.301093469
C43H70,59316127.38,0.000166083,0.166083103,0.283153592
C44H72,58041465.26,0.000181874,0.181874034,0.302839023
C45H74,41529703.52,0.000113948,0.113947711,0.185407737
C46H76,43514482.82,0.000183492,-0.183491723,-0.291907842
C47H78,37358668.9,0.000185672,0.185672232,0.288934393
C48H80,31459230.81,0.000160549,0.160548988,0.244505986
C49H82,26703096.53,0.000141432,0.141431608,0.210889985
C50H84,24865651.87,0.000195436,0.195435845,0.28545061
C51H86,21399944.8,0.000181007,0.181006789,0.259072271
C52H88,19074358.57,0.000191704,0.19170406,0.268987127
C53H90,15663626.53,2.44568E-05,0.024456813,0.033654424
C54H92,14536926.14,0.000137009,0.137008736,0.184966996
C55H94,14743005.79,8.46023E-05,-0.084602309,-0.112095301
C56H96,11648616.13,0.000340274,0.340273759,0.442631839
C57H98,9504971.967,0.000377948,0.377947662,0.482835548
C58H100,11794390.8,0.000312976,-0.312975716,-0.392799434
C59H102,9962849.72,0.000403086,0.403085785,0.497146896
C60H104,8357090.454,0.000259155,0.259155482,0.314198769
C61H106,6950159.045,0.000340732,0.340732411,0.406199866
C62H108,5755701.986,0.000473215,0.473214697,0.554865936
C64H112,5342331.354,0.000182313,0.182313126,0.206967885
C65H114,4579128.506,0.000371128,0.371128024,0.414718203
C66H116,4401064.328,0.000363071,0.36307091,0.399458502
C69H122,3303395.605,0.000562436,-0.562436211,-0.591443776
C71H126,3295947.268,0.000475246,-0.475246332,-0.485447549
C77H138,3384647.626,0.000547918,-0.547918327,-0.515406557
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C16H14,3368751.891,4.70137E-07,-0.000470137,-0.002281005
C17H16,8710947.805,1.4793E-05,-0.014793003,-0.06720268
C18H18,10629460.12,1.42495E-05,-0.014249508,-0.0608587
C19H20,13147760.06,2.05637E-05,-0.020563692,-0.08286582
C20H22,19140557.38,9.80079E-06,-0.00980079,-0.037383031
C21H24,22396611.78,1.91659E-05,-0.019165935,-0.069394574
C22H26,30300151.17,1.626E-05,0.016259995,0.056029641
C23H28,44257159.85,2.6399E-05,0.026398962,0.08677615
C24H30,43916656.43,1.65158E-05,0.016515821,0.051898232
C25H32,66775608.85,7.29242E-05,0.07292418,0.219485603
C26H34,87655179.09,5.08051E-05,0.050805126,0.146722804
C27H36,92883431.03,2.10408E-05,-0.021040757,-0.058400849
C28H38,135762911.7,0.000119938,0.119938271,0.3204358
C29H40,142045837.9,2.61696E-05,0.026169648,0.067393179
C30H42,118827879.2,8.82967E-05,0.088296742,0.219464217
C31H44,149363104.7,0.000129376,0.129375779,0.310742283
C32H46,107386505.7,7.65045E-05,-0.076504497,-0.177768626
C33H48,132537630.7,9.40019E-05,-0.094001892,-0.211537023
C34H50,106176731.7,0.000134538,-0.134537956,-0.293500269
C35H52,106533886.7,0.000241421,-0.241420514,-0.511043579
C36H54,105895509,9.69385E-05,-0.096938499,-0.19928866
C37H56,91972228.67,0.000102783,-0.102783168,-0.205386336
C38H58,89127061.19,6.02799E-05,0.060279866,0.117172544
C39H60,88443407.96,6.68322E-05,-0.066832212,-0.126463707
C40H62,99827915.81,4.67024E-05,-0.04670241,-0.086089749
C41H64,72854316.43,6.41144E-05,0.064114419,0.115209931
C42H66,61075490.01,5.04718E-05,0.050471817,0.088466892
C43H68,51698198.71,9.79151E-05,-0.097915104,-0.167510225
C44H70,43956991.52,0.000147695,-0.147695097,-0.246755746
